gene,dropped,b,se,p
CDKN1A,rs9394429,0.115353412693132,0.0395049744297441,0.00350063021420041
FBP1,rs117792256,-0.0351905504288499,0.0427768155156199,0.410704355061091
FBP1,rs6479534,-0.0748615830155968,0.041004648791251,0.0678976842635688
FBP1,rs16912862,-0.080917561073073,0.0412533559523257,0.0498232579819921
FBP1,rs10761384,-0.0873942668845773,0.0387853535086268,0.0242414909961657
FBP1,rs10761385,-0.0890551488099395,0.0382596811635119,0.0199306934395405
FBP1,rs7858069,-0.0920230180015767,0.0338564459552711,0.00656708152421466
FBP1,rs10821285,-0.0908967301360921,0.0348604353453402,0.00912202477362566
FBP1,rs3847311,-0.0752415595406373,0.0371347702530654,0.0427468092665423
FBP1,rs421224,-0.0788849001192954,0.0385929674839747,0.0409513084528007
FBP1,rs7858082,-0.0901064049238994,0.0350881992341443,0.0102287918894813
ZMAT3,rs11708890,-0.0619754428305529,0.0565425672218316,0.273041709596448
ZMAT3,rs7637074,-0.0196994573364872,0.0233879325885187,0.399624795397711
ZMAT3,rs11715130,-0.014978479546382,0.0218062065613697,0.492151635139937
ZMAT3,rs34162444,-0.0137974228620376,0.0218141212933996,0.527060473656496
ZMAT3,rs1540629,-0.0218423798413653,0.021659237036858,0.313235771298682
CAMKK2,rs11065472,-0.207574172312385,0.0927374791852596,0.0252015876131545
CAMKK2,rs692902,-0.0830524650108419,0.04477328631188,0.0636025453933731
CAMKK2,rs2428384,-0.129052159535995,0.0590059719193705,0.0287349793053685
CAMKK2,rs791707,-0.115051070469029,0.0555749566129305,0.0384339640795039
CAMKK2,rs2673624,-0.126458055254267,0.0597005296150777,0.0341575753322407
CAMKK2,rs1916334,-0.119106369080804,0.0581078917583277,0.0403893069828713
CAMKK2,rs12314700,-0.137959717894322,0.0510594852152979,0.0068935988322458
CAMKK2,rs185265947,-0.130077091483212,0.0576978301182314,0.0241676349482668
IRS2,rs4771629,0.0686814678998816,0.0729991208974885,0.346780013478784
IRS2,rs7995770,0.0260614939846732,0.0610696306279959,0.669561080863773
IRS2,rs16975420,0.00985846393785766,0.059578484492639,0.868573900889674
IRS2,rs12428089,0.00935998464225569,0.059117347487345,0.87419763586116
IRS2,rs2275843,0.0118403469199178,0.0595573159593412,0.842414565887747
MDM2,rs10878866,0.0914820047567773,0.0866278466005936,0.29095239999133
MDM2,rs4913455,0.0148930826833862,0.0215536041557324,0.489578888681034
MDM2,rs76861366,0.0133707153656707,0.0214183210338455,0.532453345209391
MDM2,rs10878826,0.0124986863456456,0.0214154980127748,0.559470552681237
LZTFL1,rs9842595,-0.0272542298435867,0.0762692967932954,0.720835724674285
LZTFL1,rs3136671,-0.000776113968042108,0.042156971297556,0.985311696862844
LZTFL1,rs4683236,0.0129098757277969,0.0406669842789943,0.750899531962961
LZTFL1,rs3176826,-0.00293110784758489,0.0406417808837697,0.942505967236557
HMOX1,rs2071743,-0.0274586981548963,0.183891292322308,0.881300918277345
HMOX1,rs9610226,0.0159748464905994,0.0640708845382427,0.803104889277403
HMOX1,rs8137556,0.0411211232771242,0.0411627523895917,0.317800179689707
