gene,dropped,b,se,p
CDKN1A,rs9394429,0.0285652755337544,0.0367356847750678,0.436811168973938
KHK,rs12997235,-0.0139956339022195,0.0289504192372163,0.628787196639863
KHK,rs2119026,-0.0201554807806807,0.03578233657664,0.573244116161824
KHK,rs828257,-0.0337710254687521,0.0127985806841277,0.00832358979543148
PPARGC1A,rs13129205,-0.0174892523603672,0.0127549295814595,0.170320121386782
PPARGC1A,rs1318088,-0.0162819475434356,0.0126257820585772,0.197196756918322
PPARGC1A,rs2970862,-0.0190770235676991,0.0127257008750174,0.133849212460531
PPARGC1A,rs2970884,-0.0165146453119217,0.0128902762904622,0.200133687547302
PPARGC1A,rs34888966,-0.0166591978000778,0.0126673291822306,0.188465866286843
PPARGC1A,rs4536908,-0.00862171970616585,0.0133610065793614,0.518739476973337
PPARGC1A,rs4697046,-0.0195697689117499,0.012704720502355,0.123474051843344
PPARGC1A,rs648674,-0.0192611551547011,0.0127580948705873,0.131114802365042
PPARGC1A,rs73097695,-0.0198136734867086,0.0126270397732484,0.116613839721954
PPARGC1A,rs7438250,-0.0200477311539698,0.0136471944999274,0.141832740856771
PPARGC1A,rs74893741,-0.0238654361303396,0.0162181429213934,0.14114863567799
PPARGC1A,rs7672932,-0.0163174820264623,0.0131859179540341,0.215904087306243
SERPINE1,rs13232139,-0.231048077616173,0.133127801469533,0.0826459299389879
SERPINE1,rs2005742,-0.26351144226596,0.0908097269653031,0.00371028246895053
SERPINE1,rs2227667,-0.0618464123802304,0.120756233533711,0.608539615857259
HMOX1,rs133434,-0.0387193592218655,0.0846313280778844,0.647307230715441
HMOX1,rs138771,0.0146330560825655,0.0573181271013099,0.798494926972109
HMOX1,rs2283961,-0.021045346145026,0.0725743171918546,0.771828948785292
HMOX1,rs5999854,-0.0177439531711168,0.0708643414302709,0.802283244628923
HMOX1,rs9610248,-0.0517779122420778,0.0567245648595991,0.361350247377104
FBP1,rs4743962,-0.12378722639019,0.139558155476615,0.375082208626649
FBP1,rs913183,-0.0567165234704158,0.0567325120453447,0.317446913323398
FBP1,rs9657699,-0.167793453906277,0.0799191746496731,0.0357693807132041
PLIN1,rs56882493,-0.0252456080272115,0.0700397723781308,0.718513074486559
PLIN1,rs7166317,-0.0255534266911509,0.0691241222344473,0.711625019227475
PLIN1,rs72752537,-0.0194325701023058,0.113657698878907,0.864243803484913
